taste,count_of_taste
low refinement,1
smoth,1
cocounut,1
smooth texture,1
blackpepper,1
slightly dry,1
cinamon and nutmeg,1
ham-like,1
dark cocoa,1
bitter then nutty rustic,1
intense marshmallow,1
assertive,1
chocolate covered cherries,1
sweet grass,1
pungent off flavor,1
roasty and under refined,1
base cocoa w/ palm notes,1
subtle but refreshing,1
black pepper and banana,1
sl. bitter,1
burn butterscotch,1
slight roasty,1
appealing smoke,1
light roast,1
fruity with coffee notes,1
red wine,1
waxy mouthfeel,1
strong pepper,1
spicy and candy-like,1
cocoa and powerful tang,1
yellow fruit,1
alluring aroma,1
mild profile,1
sliglty dry,1
brief fruit note,1
off pungent,1
distinct lemon,1
blackberry and cinnamon,1
well defined,1
nice melt,1
texture issues,1
dark coffee,1
intense fruit,1
mild fruit and spice,1
tropical berry,1
burnt honey,1
ripe grapes,1
late cocoa,1
near perfect shine,1
molasses notes from sugar,1
dark forest berry,1
caramel and cocoa,1
candy like off flavor,1
sweet spice,1
dark woody,1
cocoa flavor dominates,1
ripe orange,1
deep cherry,1
banana nut,1
harsh aroma,1
coffee and cocoa,1
intense orange,1
sl. chalky,1
slightly metallic,1
med roast,1
mild metallic and spice,1
strong nutty with off notes,1
burnt up front,1
burnt coffee,1
klingy,1
candy spices,1
slight grainy,1
hot spices,1
very grassy,1
macadamia,1
light toffee,1
strong wine,1
off spicey,1
muted spice,1
dominant tobacco,1
homey,1
almost burnt,1
lavendar,1
rich mocha,1
cooked banana,1
alocohol,1
slight hammy,1
sour dairy,1
raspberries,1
candy flavor,1
rounded,1
sugary,1
distinct spicey,1
dominate off note,1
very smokey,1
late hammy,1
mysterious,1
high astringnet,1
oddly sweet,1
intense pepper,1
sublte strawberry,1
chocolaty,1
alkalyzed notes,1
strong smoke,1
strong nutty,1
unique,1
flat flavor,1
intense prune and berry,1
odd rubber notes,1
candy like vanilla,1
oreo shell,1
moderate acidity,1
holiday spice,1
plum,1
strong sour,1
dirt/ earthy,1
fruit medley,1
lingering coffee,1
bitter ending,1
very roasty,1
raisns,1
roasty nibs,1
rasin,1
melon floral,1
less intense berry,1
winey,1
light lime,1
cigarette butt,1
floral notes,1
odd,1
fruity then nutty,1
earthy off notes,1
banana raspberry,1
mild choco & leather,1
leafy,1
very spicey,1
mild intensity,1
controlled bitter,1
very acidic,1
Andes mint,1
hint of smoke,1
heavy smoke,1
sour fig,1
strong rubber,1
sour palm,1
dominant savory,1
intense plum,1
refined,1
Easter candy,1
dominant spice,1
strong spicey,1
intense fruity,1
deep,1
uneven melt,1
strong smokey tobacco,1
clingy,1
sharp,1
full cocoa flavor,1
smoke dominates,1
mildy nutty,1
bright red fruit,1
berry notes with sweet edge,1
mild smokey,1
simple red berry,1
intense spicy,1
vegetable and honey,1
intense spice,1
intensely smokey,1
intense grapes,1
strong base cocoa,1
single note,1
notes from sugar,1
Fruity,1
overly intense,1
rough,1
smoked ham,1
bold cherry,1
rich base cocoa,1
modest,1
walnuts,1
pronounced fruit,1
dull,1
baked,1
roasty cocoa,1
roasted strawberry,1
nutty and bitter dominate,1
cigar,1
cocoa dominates,1
intense sweet,1
mellow fruit,1
mild nutty and fruit,1
strong malt,1
salt noticeable,1
dark color,1
dried fig,1
savory lemon,1
burnt black licorice,1
sticy,1
robust dark tropical fruit,1
evolves black pepper to citrus,1
basic chocolate,1
cranberries,1
super temper,1
slow to develop,1
subtle red berry,1
molasses undertone,1
fudgey then spicy,1
ligt color,1
light brown,1
mild cacao and fruit notes,1
mold,1
